TICKER,CUSIP,OFTIC,CNAME,PENDS,MEASURE,PDICITY,ANNDATS,ANNTIMS,ACTDATS,ACTTIMS,VALUE,CURR_ACT,USFIRM
IBM,45920010,IBM,IBM,2020-09-30,GPS,QTR,2020-10-19,16:12:00,2020-10-19,16:33:40,1.89,USD,1
IBM,45920010,IBM,IBM,2020-12-31,GPS,QTR,2021-01-21,16:16:00,2021-01-21,16:43:39,1.41,USD,1
IBM,45920010,IBM,IBM,2021-03-31,GPS,QTR,2021-04-19,16:08:00,2021-04-19,16:30:57,1.06,USD,1
IBM,45920010,IBM,IBM,2021-06-30,GPS,QTR,2021-07-19,16:08:00,2021-07-19,16:29:59,1.47,USD,1
IBM,45920010,IBM,IBM,2021-09-30,GPS,QTR,2021-10-20,16:08:00,2021-10-20,16:34:51,1.25,USD,1
IBM,45920010,IBM,IBM,2021-12-31,GPS,QTR,2022-01-24,16:08:00,2022-01-24,17:03:58,2.57,USD,1
IBM,45920010,IBM,IBM,2022-03-31,GPS,QTR,2022-04-19,16:08:00,2022-04-19,16:36:18,0.81,USD,1
IBM,45920010,IBM,IBM,2022-06-30,GPS,QTR,2022-07-18,16:08:00,2022-07-18,16:32:21,1.53,USD,1
IBM,45920010,IBM,IBM,2022-09-30,GPS,QTR,2022-10-19,16:08:00,2022-10-19,16:25:53,-3.54,USD,1
IBM,45920010,IBM,IBM,2022-12-31,GPS,QTR,2023-01-25,16:08:00,2023-01-25,16:46:59,2.96,USD,1
IBM,45920010,IBM,IBM,2023-03-31,GPS,QTR,2023-04-19,16:08:00,2023-04-19,16:32:22,1.01,USD,1
IBM,45920010,IBM,IBM,2023-06-30,GPS,QTR,2023-07-19,16:08:00,2023-07-19,16:29:09,1.72,USD,1
IBM,45920010,IBM,IBM,2023-09-30,GPS,QTR,2023-10-25,16:08:00,2023-10-25,16:53:48,1.84,USD,1
IBM,45920010,IBM,IBM,2023-12-31,GPS,QTR,2024-01-24,16:10:00,2024-01-24,16:32:20,3.55,USD,1
IBM,45920010,IBM,IBM,2024-03-31,GPS,QTR,2024-04-24,16:08:00,2024-06-07,6:29:43,1.72,USD,1
IBM,45920010,IBM,IBM,2024-06-30,GPS,QTR,2024-07-24,16:08:00,2024-07-24,16:31:02,1.96,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-09-30,GRM,QTR,2006-04-18,16:26:00,2006-04-18,16:26:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2005-12-31,GRM,QTR,2006-04-18,16:29:00,2006-04-18,16:29:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-03-31,GRM,QTR,2006-04-18,16:09:00,2006-04-18,16:32:00,,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-06-30,GRM,QTR,2006-07-18,16:05:00,2006-07-18,16:33:00,41.2,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-09-30,GRM,QTR,2006-10-17,16:11:00,2006-10-17,16:22:08,42,USD,1
IBM,45920010,IBM,INTL BUS MACH,2006-12-31,GRM,QTR,2007-01-18,16:07:00,2007-01-19,8:36:28,44.6,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-03-31,GRM,QTR,2007-04-17,16:17:00,2007-04-17,16:24:24,40.2,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-06-30,GRM,QTR,2007-07-18,16:04:00,2007-07-18,16:26:44,41.8,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-09-30,GRM,QTR,2007-10-16,16:08:00,2007-10-16,16:40:18,41.3,USD,1
IBM,45920010,IBM,INTL BUS MACH,2007-12-31,GRM,QTR,2008-01-17,16:07:00,2008-01-17,16:35:11,44.9,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-03-31,GRM,QTR,2008-04-16,16:07:00,2008-04-16,16:32:12,41.49,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-06-30,GRM,QTR,2008-07-17,4:06:00,2008-07-17,16:31:30,43.25,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-09-30,GRM,QTR,2008-10-16,16:20:00,2008-10-16,16:23:45,43.3,USD,1
IBM,45920010,IBM,INTL BUS MACH,2008-12-31,GRM,QTR,2009-01-20,16:09:00,2009-01-20,16:45:36,47.9,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-03-31,GRM,QTR,2009-04-20,7:43:00,2009-04-20,17:18:18,43.4,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-06-30,GRM,QTR,2009-07-16,16:05:00,2009-07-16,16:16:35,45.5,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-09-30,GRM,QTR,2009-10-15,16:03:00,2009-10-15,16:13:53,45.1,USD,1
IBM,45920010,IBM,INTL BUS MACH,2009-12-31,GRM,QTR,2010-01-19,16:05:00,2010-01-19,16:13:28,48.27,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-03-31,GRM,QTR,2010-04-19,16:09:00,2010-04-19,16:19:26,43.6,USD,1
IBM,45920010,IBM,INTL BUS MACH,2010-06-30,GRM,QTR,2010-07-19,16:08:00,2010-07-19,16:14:22,45.6,USD,1
